,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Status,Latitude,Longitude
8715,60246,"Sunray Energy 2, LLC",10437,Sunray 2,CA,San Bernardino,CISO,IPP Non-CHP,SUN2,20,20,18.5,Solar Photovoltaic,(OP) Operating,34.863356,-116.8276
8716,60247,Sunray Energy 3 LLC,10438,Sunray 3,CA,San Bernardino,CISO,IPP Non-CHP,SUN3,13.8,13.8,13.8,Solar Photovoltaic,(OP) Operating,34.863356,-116.8276
8717,61950,Terra-Gen Operating Co-Solar,10444,"Lockhart Solar PV, LLC",CA,San Bernardino,CISO,IPP Non-CHP,LOC1,100.4,85,85,Solar Photovoltaic,(OP) Operating,35.0308,-117.3563
9194,16625,San Diego State University,50061,San Diego State University,CA,San Diego,CISO,Commercial CHP,GEN5,0.1,0.1,0.1,Solar Photovoltaic,(OP) Operating,32.778225,-117.0701
9195,16625,San Diego State University,50061,San Diego State University,CA,San Diego,CISO,Commercial CHP,GEN6,0.3,0.3,0.2,Solar Photovoltaic,(OP) Operating,32.778225,-117.0701
9196,16625,San Diego State University,50061,San Diego State University,CA,San Diego,CISO,Commercial CHP,GEN7,0.3,0.3,0.2,Solar Photovoltaic,(OP) Operating,32.778225,-117.0701
9197,16625,San Diego State University,50061,San Diego State University,CA,San Diego,CISO,Commercial CHP,GEN8,0.1,0.1,0.1,Solar Photovoltaic,(OP) Operating,32.778225,-117.0701
9199,22142,University of California Santa Cruz,50064,University of California Santa Cruz,CA,Santa Cruz,CISO,Commercial CHP,004,0.2,0.2,0.1,Solar Photovoltaic,(OP) Operating,36.9997,-122.0622
9201,22142,University of California Santa Cruz,50064,University of California Santa Cruz,CA,Santa Cruz,CISO,Commercial CHP,246,1.8,1.8,1.8,Solar Photovoltaic,(OP) Operating,36.9997,-122.0622
14180,55961,CalRenew-1 LLC,56768,CalRenew-1,CA,Fresno,CISO,IPP Non-CHP,CR1,5,5,5,Solar Photovoltaic,(OP) Operating,36.7575,-120.3658
14233,56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,Fresno,CISO,IPP Non-CHP,1,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.809841,-119.7417
14234,56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,Fresno,CISO,IPP Non-CHP,2,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.809841,-119.7417
14235,56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,Los Angeles,CISO,IPP Non-CHP,PV1,0.5,0.4,0.3,Solar Photovoltaic,(OP) Operating,34.040278,-118.1481
14236,56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,Los Angeles,CISO,IPP Non-CHP,PV2,0.5,0.4,0.3,Solar Photovoltaic,(OP) Operating,34.040278,-118.1481
14291,56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,CISO,IPP Non-CHP,1,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,34.5644,-117.6933
14292,56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,CISO,IPP Non-CHP,2,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,34.5644,-117.6933
14293,56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,CISO,IPP Non-CHP,3,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,34.5644,-117.6933
14294,56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,CISO,IPP Non-CHP,4,0.3,0.3,0.3,Solar Photovoltaic,(OP) Operating,34.5644,-117.6933
14309,57170,"EDF Renewable Asset Holdings, Inc.",56875,Sacramento Soleil LLC,CA,Sacramento,BANC,IPP Non-CHP,TBD,1,1,1,Solar Photovoltaic,(OP) Operating,38.44979,-121.1647
14370,61944,MN8 Energy LLC,56909,Gap Pacific Distribution Center,CA,Fresno,CISO,Commercial Non-CHP,1,0.6,0.3,0.3,Solar Photovoltaic,(OP) Operating,36.806476,-121.7745
14371,61944,MN8 Energy LLC,56909,Gap Pacific Distribution Center,CA,Fresno,CISO,Commercial Non-CHP,2,0.6,0.3,0.3,Solar Photovoltaic,(OP) Operating,36.806476,-121.7745
14372,61944,MN8 Energy LLC,56909,Gap Pacific Distribution Center,CA,Fresno,CISO,Commercial Non-CHP,3,0.6,0.3,0.3,Solar Photovoltaic,(OP) Operating,36.806476,-121.7745
14373,61944,MN8 Energy LLC,56909,Gap Pacific Distribution Center,CA,Fresno,CISO,Commercial Non-CHP,4,0.6,0.3,0.3,Solar Photovoltaic,(OP) Operating,36.806476,-121.7745
14382,56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,CISO,IPP Non-CHP,1,101,101,101,Solar Photovoltaic,(OP) Operating,32.671099,-115.5873
14383,56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,CISO,IPP Non-CHP,1A,64.6,64.6,64.6,Solar Photovoltaic,(OP) Operating,32.671099,-115.5873
14384,56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,CISO,IPP Non-CHP,1B,34.3,34.3,34.3,Solar Photovoltaic,(OP) Operating,32.671099,-115.5873
14406,59399,NRG Solar Blythe,56939,Solar Blythe LLC,CA,Riverside,CISO,IPP Non-CHP,1,21,21,21,Solar Photovoltaic,(OP) Operating,33.5917,-114.7444
14522,56294,SunE WG113 Moreno Valley LLC,57004,SunEdison Walgreens Moreno Valley,CA,Riverside,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,33.8672,-117.23
14523,56431,SunE U6 Holdings LLC,57005,Mariani Packing Vacaville Solar,CA,Solano,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,38.40008,-121.9637
14524,56296,SunE WG45 Woodland LLC,57006,Walgreens Woodland Distribution Center,CA,Yolo,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,38.674894,-121.7134
14525,56297,SunE CPA CDC2 LLC,57007,SunEdison Ironwood State Prison,CA,Riverside,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,33.567268,-114.918
14526,56431,SunE U6 Holdings LLC,57008,SunEdison Procter & Gamble Oxnard,CA,Ventura,CISO,IPP Non-CHP,1,1,0.8,0.8,Solar Photovoltaic,(OP) Operating,34.2089,-119.13
14527,65923,"SunE WF3 KHL A Holdings, LLC",57009,Kohls San Bernardino Solar Facility,CA,San Bernardino,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,34.094695,-117.2668
14528,56434,SunE M5 Holdings LLC,57010,SunEdison Anheuser Busch Fairfield,CA,Solano,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,38.232108,-122.0927
14529,56302,SunE CPA CDC1 LLC,57011,Chuckawalla Valley State Prison,CA,Riverside,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,33.565329,-114.9036
14530,56434,SunE M5 Holdings LLC,57012,SunEdison Walmart Apple Valley DC,CA,San Bernardino,CISO,IPP Non-CHP,1,1,0.9,0.9,Solar Photovoltaic,(OP) Operating,34.5975,-117.2
14625,14328,Pacific Gas & Electric Co.,57041,Vaca Dixon Solar Station,CA,Solano,CISO,Electric Utility,1,2,2,2,Solar Photovoltaic,(OP) Operating,38.4106,-121.9264
14882,56618,Victor Valley Community College District,57254,Victor Valley CC CPV Solar,CA,San Bernardino,CISO,Commercial Non-CHP,1PV,1,1,1,Solar Photovoltaic,(OP) Operating,34.48017,-117.2579
14917,64617,Alpine BESS LLC,57295,Alpine Solar,CA,Los Angeles,CISO,IPP Non-CHP,1,66,66,66,Solar Photovoltaic,(OP) Operating,34.7892,-118.5047
14945,11208,Los Angeles Department of Water & Power,57305,Adelanto Solar Project,CA,San Bernardino,LDWP,Electric Utility,1,6.8,6.8,6.8,Solar Photovoltaic,(OP) Operating,34.550833,-117.4353
14946,11208,Los Angeles Department of Water & Power,57306,Pine Tree Solar Project,CA,Kern,LDWP,Electric Utility,1,8.5,8.5,8.5,Solar Photovoltaic,(OP) Operating,35.229635,-118.1957
14947,11208,Los Angeles Department of Water & Power,57308,Maclay Solar Project,CA,Los Angeles,LDWP,Electric Utility,1,2,1.8,1.1,Solar Photovoltaic,(OP) Operating,34.319722,-118.4308
14949,59551,Occidental College,57311,Occidental College Solar Project,CA,Los Angeles,LDWP,Commercial Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,34.1283,-118.2069
14950,57275,Los Angeles County Metropolitan Transportation Authority,57313,Metro Support Services Center Solar,CA,Los Angeles,LDWP,Commercial Non-CHP,1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,34.0578,-118.2297
14951,57276,Los Angeles Community College District,57314,Los Angeles Harbor College,CA,Los Angeles,LDWP,Commercial Non-CHP,1,1.2,2.2,2.2,Solar Photovoltaic,(OP) Operating,33.783102,-118.2849
14974,56769,Consolidated Edison Development Inc.,57340,Panoche Valley Solar Farm,CA,San Benito,CISO,IPP Non-CHP,1,140,140,140,Solar Photovoltaic,(OP) Operating,36.627,-120.879
15008,56700,Avenal Solar Holdings LLC,57359,Avenal Park,CA,Kings,CISO,IPP Non-CHP,1,6,6,6,Solar Photovoltaic,(OP) Operating,35.989722,-120.11
15009,56700,Avenal Solar Holdings LLC,57360,Sun City Project LLC,CA,Kings,CISO,IPP Non-CHP,1,20,20,20,Solar Photovoltaic,(OP) Operating,35.983056,-120.1103
15010,56700,Avenal Solar Holdings LLC,57361,Sand Drag LLC,CA,Kings,CISO,IPP Non-CHP,1,19,19,19,Solar Photovoltaic,(OP) Operating,35.982778,-120.1103
15032,56722,AV Solar Ranch 1 LLC,57378,AV Solar Ranch One,CA,Los Angeles,CISO,IPP Non-CHP,AVSR,253,241.5,241.5,Solar Photovoltaic,(OP) Operating,34.780278,-118.4244
15085,56751,Yolo County of,57422,Yolo County Solar Project,CA,Yolo,CISO,Commercial Non-CHP,1,1,1,1,Solar Photovoltaic,(OP) Operating,38.659722,-121.7294
15102,64536,Clearway Energy Operating LLC,57439,California Valley Solar Ranch,CA,San Luis Obispo,CISO,IPP Non-CHP,HPR2,32.3,32.3,32.3,Solar Photovoltaic,(OP) Operating,35.323739,-119.9166
15103,64536,Clearway Energy Operating LLC,57439,California Valley Solar Ranch,CA,San Luis Obispo,CISO,IPP Non-CHP,HPR2A,21,21,21,Solar Photovoltaic,(OP) Operating,35.323739,-119.9166
15104,64536,Clearway Energy Operating LLC,57439,California Valley Solar Ranch,CA,San Luis Obispo,CISO,IPP Non-CHP,HPR2B,86.5,86.5,86.5,Solar Photovoltaic,(OP) Operating,35.323739,-119.9166
15105,64536,Clearway Energy Operating LLC,57439,California Valley Solar Ranch,CA,San Luis Obispo,CISO,IPP Non-CHP,HPR2C,70,70,70,Solar Photovoltaic,(OP) Operating,35.323739,-119.9166
15106,64536,Clearway Energy Operating LLC,57439,California Valley Solar Ranch,CA,San Luis Obispo,CISO,IPP Non-CHP,HPR2D,40,40,40,Solar Photovoltaic,(OP) Operating,35.323739,-119.9166
15107,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42A,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15108,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42B,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15109,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42C,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15110,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42D,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15111,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42E,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15112,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42F,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15113,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42G,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15114,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42H,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15115,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42I,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15116,17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,Tulare,CISO,Electric Utility,S42J,0.5,0.5,0.5,Solar Photovoltaic,(OP) Operating,36.028056,-119.0747
15139,57271,NRG Solar Borrego I,57455,Solar Borrego I,CA,San Diego,CISO,IPP Non-CHP,SB1,26,26,26,Solar Photovoltaic,(OP) Operating,33.298889,-116.3508
15190,56819,CSOLAR IV South LLC,57490,Imperial Solar Energy Center South,CA,Imperial,CISO,IPP Non-CHP,56819,128.9,128.9,128.9,Solar Photovoltaic,(OP) Operating,32.663289,-115.6583
15191,57260,CSOLAR IV West LLC,57491,Imperial Solar Energy Center West,CA,Imperial,CISO,IPP Non-CHP,56819,148.7,148.7,148.7,Solar Photovoltaic,(OP) Operating,32.772225,-115.7793
15196,14328,Pacific Gas & Electric Co.,57497,Stroud Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.531389,-120.1069
15197,14328,Pacific Gas & Electric Co.,57498,Five Points Solar Station,CA,Fresno,CISO,Electric Utility,1,15,15,15,Solar Photovoltaic,(OP) Operating,36.400278,-120.1033
15198,14328,Pacific Gas & Electric Co.,57499,Westside Solar Station,CA,Fresno,CISO,Electric Utility,1,15,15,15,Solar Photovoltaic,(OP) Operating,36.378726,-120.1249
15207,65924,"FRV SI Transport Solar, L.P. (Sacremento)",57506,FRV SI Transport Solar LP,CA,Sacramento,CISO,IPP Non-CHP,SEIM,1,1,1,Solar Photovoltaic,(OP) Operating,38.4869,-121.3911
15218,14328,Pacific Gas & Electric Co.,57521,Giffen,CA,Fresno,CISO,Electric Utility,1,10,10,10,Solar Photovoltaic,(OP) Operating,36.530278,-120.3161
15219,14328,Pacific Gas & Electric Co.,57522,Cantua Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.425085,-120.3435
15220,14328,Pacific Gas & Electric Co.,57523,Huron Solar Station,CA,Fresno,CISO,Electric Utility,1,20,20,20,Solar Photovoltaic,(OP) Operating,36.181389,-120.0306
15239,65411,Duke Energy Renewables Services,57559,Sunset Reservoir North Basin,CA,San Francisco,CISO,IPP Non-CHP,1,4.5,4.5,4.5,Solar Photovoltaic,(OP) Operating,37.750894,-122.4818
15264,17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,CISO,Electric Utility,1,0.9,0.9,0.4,Solar Photovoltaic,(OP) Operating,37.8583,-120.8917
